Doc,NormalizedTF
D5248,0.111111111
D5249,0.166666667
D5251,0
D5253,0.029411765
D5254,0.15
D5263,0.058823529
D5268,0.02173913
D5269,0
D5273,0
D5276,0
D5278,0.028571429
D5280,0
D5282,0
D5284,0
D5288,0.018867925
D5293,0.1
D5300,0.2
D5302,0
D5306,0
D5307,0
D5308,0.0625
D5310,0
D5311,0
D5312,0
D5315,0.025
D5318,0.055555556
D5319,0
D5321,0
D5327,0
D5333,0
D5336,0
D5339,0
D5345,0
D5349,0
D5350,0
D5354,0
D5356,0
D5357,0
D5361,0
D5362,0
D5363,0.019607843
D5366,0
D5385,0
D5389,0
D5390,0
D5393,0
D5394,0
D5399,0
D5400,0
D5401,0
D5412,0
D5427,0
D5434,0.076923077
D5436,0
D5440,0
D5446,0
D5448,0
D5451,0
D5453,0
D5457,0
D5471,0
D5472,0
D5473,0
D5479,0
D5483,0
D5489,0
D5491,0
D5492,0.020408163
D5493,0.018518519
D5498,0
D5500,0
D5501,0.016666667
D5505,0
D5511,0
D5516,0
D5527,0
D5535,0
D5538,0
D5545,0
D5559,0
D5561,0
D5564,0
D5567,0
D5578,0
D5582,0
D5584,0
D5592,0
D5595,0
D5599,0
D5602,0
D5605,0
D5609,0
D5616,0
D5617,0
D5630,0
D5632,0
D5637,0
D5640,0.037037037
D5645,0
D5649,0
D5650,0
D5651,0
D5657,0
D5660,0
D5661,0
D5664,0
D5665,0
D5668,0.055555556
D5670,0
D5671,0
D5673,0
D5674,0
D5685,0
D5701,0
D5703,0
D5706,0
D5709,0
D5732,0
D5737,0
D5742,0
D5748,0
D5765,0
D5770,0
D5773,0
D5774,0
D5776,0
D5782,0
D5785,0
D5798,0
D5809,0
D5815,0
D5817,0
D5821,0
D5823,0
D5825,0
D5831,0
D5832,0
D5839,0
D5840,0
D5843,0
D5844,0
D5848,0
D5855,0
D5863,0
D5866,0
D5868,0
D5869,0
D5874,0
D5875,0
D5885,0
D5890,0
D5892,0
D5899,0
D5901,0
D5905,0
D5914,0
D5920,0
D5921,0
D5923,0
D5930,0
D5931,0.023809524
D5933,0
D5934,0
D5935,0
D5938,0
D5944,0
D5946,0
D5953,0
D5955,0
D5957,0
D5960,0
D5965,0
D5967,0
D5968,0
D5974,0
D5975,0
D5977,0
D5991,0
D5992,0
D5994,0
D6008,0
D6012,0
D6013,0
D6015,0.027027027
D6022,0
D6027,0
D6039,0
D6050,0
D6052,0
D6055,0
D6056,0
D6058,0
D6067,0
D6071,0
D6079,0
D6081,0
D6083,0
D6086,0
D6095,0
D6100,0
D6110,0
D6114,0
D6116,0
D6117,0
D6119,0
D6120,0
D6122,0
D6126,0
D6128,0
D6129,0
D6133,0
D6136,0
D6151,0
D6152,0
D6153,0
D6156,0
D6157,0.025
D6165,0
D6166,0
D6171,0
D6180,0
D6190,0
D6192,0
D6197,0
D6202,0
D6204,0
D6208,0
D6211,0
D6216,0
D6224,0
D6225,0
D6228,0
D6240,0.01369863
D6243,0.012345679
D6244,0
D6253,0.020833333
D6254,0
D6256,0
D6274,0
D6277,0
D6281,0
D6290,0
D6297,0
D6300,0
D6306,0
D6311,0
D6313,0
D6321,0
D6323,0
D6324,0
D6332,0.027027027
D6336,0
D6341,0
D6344,0
D6356,0.018518519
D6358,0
D6363,0
D6364,0
D6377,0
D6381,0
D6387,0
D6392,0
D6394,0
D6397,0
D6398,0
D6404,0
D6410,0
D6412,0
D6414,0
D6415,0
D6422,0
D6423,0
D6425,0
D6433,0
D6437,0
D6441,0
D6442,0
D6445,0
D6449,0
D6454,0
D6458,0
D6463,0
D6466,0
D6467,0
D6468,0
D6469,0
D6472,0
D6475,0
D6477,0
D6478,0
D6485,0
D6489,0
D6496,0
D6497,0
D6504,0
D6505,0
D6507,0
D6510,0
D6512,0
D6513,0
D6514,0
D6520,0
D6523,0
D6528,0
D6530,0
D6532,0
D6533,0
D6534,0
D6538,0
D6539,0
D6540,0
D6542,0
D6544,0
D6550,0
D6553,0
D6571,0
D6574,0
D6576,0
D6577,0
D6579,0.076923077
D6584,0
D6586,0
D6589,0
D6590,0
D6591,0
D6595,0
D6596,0
D6598,0
D6600,0
D6607,0
D6611,0
D6612,0
D6617,0
D6618,0
D6624,0
D6632,0
D6638,0
D6639,0
D6641,0
D6642,0.014925373
D6645,0
D6649,0
D6650,0
D6656,0
D6666,0
D6671,0
D6673,0
D6681,0
D6682,0
D6683,0
D6689,0
D6692,0
D6696,0
D6699,0
D6705,0.02173913
D6711,0
D6713,0
D6715,0
D6717,0
D6718,0
D6719,0
D6721,0
D6722,0
D6725,0
D6727,0
D6730,0
D6734,0
D6735,0
D6745,0
D6750,0
D6752,0.023255814
D6762,0
D6772,0
D6775,0
D6776,0
D6778,0
D6786,0
D6787,0
D6792,0
D6798,0
D6810,0
D6817,0
D6819,0.090909091
D6822,0
D6827,0
D6828,0
D6833,0
D6840,0
D6845,0
D6847,0
D6848,0
D6849,0
D6851,0
D6861,0
D6864,0
D6868,0
D6875,0
D6876,0
D6877,0
D6879,0
D6883,0
D6884,0
D6889,0
D6894,0
D6897,0
D6907,0
D6908,0
D6914,0
D6921,0
D6924,0
D6926,0
D6931,0
D6934,0
D6949,0
D6954,0
D6955,0.03125
D6965,0
D6967,0
D6968,0
D6980,0
D6983,0
D6984,0
D6989,0
D6998,0
D7001,0
D7002,0
D7004,0
D7015,0
D7020,0
D7023,0
D7028,0
D7030,0
D7036,0
D7038,0
D7039,0
D7041,0
D7042,0
D7045,0
D7047,0
D7050,0
D7056,0
D7059,0
D7065,0
D7074,0
D7076,0
D7079,0
D7083,0
D7087,0
D7096,0
D7104,0
D7106,0
D7108,0
D7111,0
D7114,0
D7115,0
D7118,0
D7131,0
D7133,0
D7135,0
D7139,0
D7141,0
D7143,0
D7152,0
D7153,0
D7158,0
D7159,0
D7160,0
D7161,0
D7170,0
D7174,0
D7175,0
D7185,0
D7186,0
D7194,0
D7197,0
D7198,0
D7203,0
D7207,0
D7214,0
D7216,0
D7222,0
D7227,0
D7229,0
D7230,0
D7248,0
D7250,0
D7256,0
D7259,0
D7263,0
D7266,0
D7272,0
D7273,0
D7285,0
D7290,0
D7291,0
D7294,0.026315789
D7300,0
D7303,0
D7310,0
D7315,0
D7316,0
D7325,0
D7328,0
D7336,0
D7339,0
D7341,0
D7342,0
D7352,0
D7361,0
D7363,0
D7378,0
D7379,0
D7385,0
D7391,0
D7397,0
D7400,0
D7401,0
D7406,0
D7411,0
D7414,0
D7426,0
D7427,0
D7433,0
D7439,0.037037037
D7452,0
D7455,0
D7463,0
D7467,0
D7470,0
D7475,0
D7484,0
D7490,0
D7495,0
D7500,0
D7508,0
D7514,0.052631579
D7519,0
D7526,0.045454545
D7528,0
D7529,0
D7534,0
D7535,0
D7538,0
D7543,0
D7544,0
D7545,0
D7546,0
D7547,0
D7550,0
D7551,0.043478261
D7553,0
D7555,0
D7565,0
D7567,0
D7568,0
D7574,0
D7575,0
D7590,0
D7591,0
D7593,0
D7598,0
D7602,0
D7604,0
D7609,0.090909091
D7611,0
D7612,0
D7614,0
D7615,0
D7620,0
D7621,0.142857143
D7624,0
D7625,0
D7630,0
D7633,0
D7634,0
D7635,0
D7647,0
